,clusters
20,"frozenset({('mail_mail_id', '4464.0'), ('res_name', 'PO01005'), ('date_order', '2022-08-03 10:16:56'), ('date_planned', '2022-08-03 10:16:56'), ('attachment_id', '6264'), ('mail_followers_id', '6210'), ('parent_id', '21086'), ('purchase_order_id', 1005.0), ('ir_attachment_id', 6264.0), ('mail_mail_id', '4464')})"
21,"frozenset({('date_order', '2022-08-03 10:15:54'), ('date_planned', '2022-08-03 10:15:54'), ('ir_attachment_id', 6244.0), ('mail_mail_id', '4444.0'), ('mail_followers_id', '6165'), ('mail_mail_id', '4444'), ('attachment_id', '6244'), ('res_name', 'PO00989'), ('purchase_order_id', 989.0), ('parent_id', '20914')})"
22,"frozenset({('date_order', '2022-08-03 10:16:42'), ('parent_id', '21063'), ('mail_followers_id', '6201'), ('mail_mail_id', '4461'), ('date_planned', '2022-08-03 10:16:42'), ('attachment_id', '6261'), ('mail_mail_id', '4461.0'), ('res_name', 'PO01002'), ('purchase_order_id', 1002.0), ('ir_attachment_id', 6261.0)})"
23,"frozenset({('purchase_order_id', 988.0), ('date_order', '2022-08-03 10:15:52'), ('res_name', 'PO00988'), ('mail_mail_id', '4443'), ('parent_id', '20908'), ('date_planned', '2022-08-03 10:15:52'), ('ir_attachment_id', 6243.0), ('attachment_id', '6243'), ('mail_mail_id', '4443.0'), ('mail_followers_id', '6164')})"
24,"frozenset({('attachment_id', '6266'), ('parent_id', '21091'), ('mail_followers_id', '6211'), ('ir_attachment_id', 6266.0), ('mail_mail_id', '4466'), ('mail_mail_id', '4466.0'), ('purchase_order_id', 1006.0), ('date_order', '2022-08-03 10:16:58'), ('res_name', 'PO01006'), ('date_planned', '2022-08-03 10:16:58')})"
25,"frozenset({('parent_id', '21019'), ('purchase_order_id', 997.0), ('mail_mail_id', '4455.0'), ('date_order', '2022-08-03 10:16:31'), ('mail_followers_id', '6192'), ('date_planned', '2022-08-03 10:16:31'), ('res_name', 'PO00997'), ('ir_attachment_id', 6255.0), ('attachment_id', '6255'), ('mail_mail_id', '4455')})"
26,"frozenset({('sale_order_id', 377.0), ('purchase_requisition_id', 340.0), ('mail_followers_id', '6150'), ('purchase_requisition_line_id', 340.0), ('date_planned', '2022-08-03 05:36:54.900525'), ('purchase_order_line_id', 997.0), ('mail_followers_id', '6155'), ('date_order', '2022-08-03 10:15:26'), ('sale_order_line_id', 401.0)})"
27,"frozenset({('ir_attachment_id', 6245.0), ('purchase_order_id', 990.0), ('mail_mail_id', '4445'), ('res_name', 'PO00990'), ('date_order', '2022-08-03 10:15:57'), ('parent_id', '20920'), ('mail_followers_id', '6167'), ('date_planned', '2022-08-03 10:15:57')})"
28,"frozenset({('sale_order_line_id', 402.0), ('date_order', '2022-08-03 10:15:35'), ('mail_followers_id', '6156'), ('mail_followers_id', '6159'), ('sale_order_id', 378.0), ('purchase_requisition_line_id', 341.0), ('purchase_requisition_id', 341.0)})"
29,"frozenset({('mail_followers_id', '6172'), ('sale_order_id', 381.0), ('purchase_requisition_line_id', 344.0), ('purchase_requisition_id', 344.0), ('sale_order_line_id', 405.0), ('date_order', '2022-08-03 10:16:06'), ('mail_followers_id', '6177')})"
30,"frozenset({('purchase_order_line_id', 998.0), ('purchase_order_line_id', 999.0), ('purchase_order_line_id', 1000.0), ('date_planned', '2022-08-03 05:37:04.345969')})"
31,"frozenset({('purchase_order_line_id', 1005.0), ('purchase_order_line_id', 1007.0), ('date_planned', '2022-08-03 05:37:31.278157')})"
32,"frozenset({('attachment_id', '6245'), ('mail_mail_id', '4445.0')})"
33,"frozenset({('mail_followers_id', '6168')})"
34,"frozenset({('mail_mail_id', '4446.0')})"
35,"frozenset({('mail_followers_id', '6175')})"
36,"frozenset({('attachment_id', '6246')})"
37,"frozenset({('date_done', '2022-08-03 10:16:36')})"
38,"frozenset({('mail_followers_id', '6223')})"
39,"frozenset({('date_planned', '2022-08-03 10:16:01')})"
40,"frozenset({('mail_followers_id', '6220')})"
41,"frozenset({('date_done', '2022-08-03 10:16:12')})"
42,"frozenset({('mail_followers_id', '6188')})"
43,"frozenset({('parent_id', '20933')})"
44,"frozenset({('mail_followers_id', '6216')})"
45,"frozenset({('mail_followers_id', '6203')})"
46,"frozenset({('mail_followers_id', '6181')})"
47,"frozenset({('mail_followers_id', '6209')})"
48,"frozenset({('parent_id', '20932')})"
